application,endpoint,energy_consumption,runtime
rust-actix,/api/register,0.4493584406276907,0.1488120555877685
rust-actix,/api/register,0.4338710918675588,0.1488950252532959
rust-actix,/api/register,0.2708436065876184,0.094728946685791
rust-actix,/api/register,0.4797763649394256,0.1634671688079834
rust-actix,/api/register,0.2688328697571478,0.0922999382019043
rust-actix,/api/register,0.2702365128308768,0.0925853252410888
rust-actix,/api/register,0.2764840322390682,0.0945019721984863
rust-actix,/api/register,0.4777908933456274,0.1634671688079834
rust-actix,/api/register,0.4469782898038941,0.1480019092559814
rust-actix,/api/register,0.2807451948908122,0.0957138538360595
rust-actix,/api/register,0.275577776656746,0.0946917533874511
rust-actix,/api/register,0.2674819997358781,0.0936589241027832
rust-actix,/api/register,0.2747045620658352,0.0936870574951171
rust-actix,/api/register,0.2658132729318936,0.0910179615020752
rust-actix,/api/register,0.4398228676238885,0.1506121158599853
rust-actix,/api/register,0.2752072942618609,0.0942761898040771
rust-actix,/api/register,0.5630224351607466,0.1927711963653564
rust-actix,/api/register,0.2706266993884582,0.0926671028137207
rust-actix,/api/register,0.4416270297774074,0.1506121158599853
rust-actix,/api/register,0.2706957477806781,0.0913131237030029
ruby-sinatra,/api/register,0.5841972949619958,0.1956791877746582
ruby-sinatra,/api/register,0.5881046508206963,0.195897102355957
ruby-sinatra,/api/register,0.5890982909642161,0.1962590217590332
ruby-sinatra,/api/register,0.6001181565943623,0.1956138610839843
ruby-sinatra,/api/register,0.6044563422080954,0.1932110786437988
ruby-sinatra,/api/register,0.7157190034071729,0.195674180984497
ruby-sinatra,/api/register,0.6162752726751249,0.2059569358825683
ruby-sinatra,/api/register,0.5875811870786264,0.1940350532531738
ruby-sinatra,/api/register,0.5843676884742873,0.1947600841522216
ruby-sinatra,/api/register,0.5713378944683993,0.1952641010284423
ruby-sinatra,/api/register,0.5834586716858323,0.1947128772735595
ruby-sinatra,/api/register,0.5757538143973305,0.1937460899353027
ruby-sinatra,/api/register,0.6132945149906844,0.2059569358825683
ruby-sinatra,/api/register,0.5811726626399148,0.1943099498748779
ruby-sinatra,/api/register,0.6079680281686703,0.2037179470062255
ruby-sinatra,/api/register,0.5909846953462078,0.1969091892242431
ruby-sinatra,/api/register,0.5787379476797125,0.1936309337615966
ruby-sinatra,/api/register,0.5835730211498457,0.1949951648712158
ruby-sinatra,/api/register,0.5884973420779714,0.1963729858398437
ruby-sinatra,/api/register,0.5789493179916007,0.1975617408752441
go-gorilla,/api/register,0.4835881760811842,0.1281499862670898
go-gorilla,/api/register,0.4259970705379601,0.1435070037841797
go-gorilla,/api/register,0.3876895286540501,0.1307461261749267
go-gorilla,/api/register,0.3855730688046602,0.1277580261230468
